title,videourl,hoteltype,address,contact,webpage,email,workinghours,workingdays,places,municipality,owner,programm,services,activities,foodplace,spa,others,president,stars,roomsnumber,placenums,checkin,checkout,price,priceseason,manager,director,tags
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"ნინოშვილის ქ. №14 ა / Ninoshvili st. №14a","579 08 08 96",,,,,,,,,Wi-Fi,,,,,,,10,27,,,,"ივნისი (ორადგილიანი) - 30 ლარი, (სამადგილიანი) - 40 ლარი, ივლისი/აგვისტო (ორადგილიანი) - 45-50 ლარი, (სამადგილიანი) - 60-65 ლარი","მაია ჭელიძე",,
პალერმო/Palermo,,სასტუმრო,"აღმაშენებლის ქ. №448 / Aghmashenebeli st. №448","577 22 31 08/577 22 31 09",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,არამწეველთა ოთახები,ტრანსფერი,ექსკურსიები",,,,,,,35,90,,,,"100-120ლ ივლისი- ორადგილიანი(საუზმის გარეშე) 150ლ სამადგილიანი ",,"ინგა ღალაძე",
"ტერემოკი / Teremoki",,"საოჯახო სახლი","აღმაშენებლის ქ. №128ა / Aghmashenebeli st. №182a","(0426) 26 70 15 /  599 57 22 00 ",,,,,,,,,Wi-Fi,,,,,,,3,13,,,,,"ლილი კაიკაციშვილი",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №500 / Aghmashebeli st. №500","599 96 69 37",,,,,,,,,Wi-Fi,,,,,,,5,12,,,,"150 $ ერთი დღე"," ნათია წულუკიძე",,
პრინცესა/Princess,,სასტუმრო,"აღმაშენებლის №390  / Aghmashenebeli st.№ 390","593 31 52 73",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,შინაური ცხოველები დაშვებულია",,,,,,,20,60-70,,,"30-40ლ ორადგილიანი ზამთარი (მაისი,ივნისი) ","50-60ლ ორადგილიანი(ივლისი,აგვისტო) 60-70ლ სამადგილიანი(მაისი,ივნისი) 90-10ლ სამადგილიანი(ივლისი,აგვისტო)",,"როინ ჯიჯავაძე",
რენესი/Reness,,სასტუმრო,"აღმაშენებლის ქ. №108 / Aghmashebeli st. №108","558 70 00 10/591 63 70 08/571 39 93 93",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი",,,,,,,28,56,,,,"45$ ივნისი აივნით(საუზმის გარეშე) ;50$  ივლისი-აგვისტო აივნით(საუზმის გარეშე) 40-45-50$ -ორადგილიანი აივნის გარეშე სტანდატრული ორადგილიანი","ქეთი მურადოვა",,
პონტო/Ponto,,სასტუმრო,"აღმაშენებლის ქ. №386 / Aghmashebeli st. №386","593 33 33 44/597 33 33 44/551 92 33 44",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე",,,,,,,40,84,,,,"85ლ ორადგილიანი-ივნისი (საუზმით) 140ლ ორადგილიანი-ივლ,აგვისტო(საუზმით)","ირმა ძიძიკაშვილი",,
"თენგიზ კონცელიძე/tengiz koncelidze",,"საოჯახო სახლი","ჩაქვი 400მ მტირალას პარკიდან","595 43 47 57/577 46 99 44",,,,,,,,,"პარკინგი,საუზმე",,,,,,,,,,,,"25ლ საწოლი 25 ლ სამჯერადი კვებით",,"თენგიზ კონცელიძე/tengiz koncelidze",
ნიკა/Nika,,"საოჯახო სახლი","ჩაქვი თამარ მეფის ქ. №46/ Chakvi tamar mephe st. № 46","558399995/ 593 53 53 11",,,,,,,,,პარკინგი,,,,,,,5,15,,,,"12-15ლ ერთი ადამიანი","მამუკა  კალანდაძე","მამუკა  კალანდაძე/mamuka kalandadze",
"ნათია დვალიშვილი/natia dvalishvili",,"საოჯახო სახლი","ჩაქვი ნ.დუმბაძის ქ. №4/ N. Dumbadze str. №4",574710053,,,,,,,,,"Wi-Fi,პარკინგი",,,,,,,9,22,,,,"15ლ ერთი ადამიანი","ნათია დვალიშვილი","ნათია დვალიშვილი/natia dvalishvili",
"მამული  ფალავანდიშვილი/mamuli phalavandishvili",,"საოჯახო სახლი","ჩაქვი სოფ გორგაძეები / chaqvi  village Gorgadzeebi",579253310,,,,,,,,,"პარკინგი,საუზმე",,,,,,,3,8,,,,"20$ საუზმე შედის",,"მამული  ფალავანდიშვილი/mamuli phalavandishvili",
"ნონა ჩეჩელაშვილი/nona chechelashvili",,"საოჯახო სახლი","ჩაქვი თამარ მეფის ქ.  მეზღვაურთა №6 / chaqvi str. tamar mephe mezxvaurta №6","599 50 24 87",,,,,,,,,"Wi-Fi,პარკინგი",,,,,,,5,8,,,,"180$ მთელი სახლი ქირავდება ოჯახზე",,"ნონა ჩეჩელაშვილი/nona chechelashvili",
"ენვერ კირჩხელი/enver kirchxeli",,"საოჯახო სახლი","სოფ.შუაღელე / village shuaxele","597 87 04 74",,,,,,,,,პარკინგი,,,,,,,6,12,,,,"ფასი შეთანხმებით",,"ენვერ კირჩხელი/enver kirchxeli",
"კვაჭაძე დათო/kvachadze dato",,"საოჯახო სახლი","ციხისძირის სანერგე მეურნეობა/cikhisdziri"," 597 01 66 01",,,,,,,,,პარკინგი,,,,,,,7,20,,,,15-20ლარი,,"კვაჭაძე დათო/kvachadze dato",
" გურამ აბუსერიძე/guram abuseridze",,"საოჯახო სახლი","ციხისძირის სანერგე მეურნეობა/cikhisdziri","555 19 04 36",,,,,,,,,პარკინგი,,,,,,,3,10,,,,10-12-15ლარიდან,," გურამ აბუსერიძე/guram abuseridze",
"გული გელაძე /guli geladze",,"საოჯახო სახლი","ციხისძირის სანერგე მეურნეობა/cikhisdziri","593 74 22 72",,,,,,,,,"პარკინგი,საუზმე",,,,,,,11,35,,,,"25ლ ერთი ადამიანი ორჯერადი კვებით 15ლ კვების გარეშე",,"გული გელაძე /guli geladze",
"თენგიზ მგელაძე/tengiz mgeladze",,"საოჯახო სახლი","ციხისძირის სანერგე მეურნეობა/cikhisdziri","593 62 53 44",,,,,,,,,პარკინგი,,,,,,,2,5,,,,"6 -7 ლ",,"თენგიზ მგელაძე/tengiz mgeladze",
"ოთარ ხალვაში /otar khalvashi",,"საოჯახო სახლი","ციხისძირის სანერგე მეურნეობა/cikhisdziri",574-30-29-32,,,,,,,,,"Wi-Fi,პარკინგი",,,,,,,10,25,,,,"9-10 ლარი",,"ოთარ ხალვაში /otar khalvashi",
"მაია ბერიძე/maia beridze",,"საოჯახო სახლი","სოფ. ბუკნარი (არველაძეების აგარაკთან)/village buknari"," 597 80 99 93",,,,,,,,,"Wi-Fi,პარკინგი",,,,,,,12,25,,,,"20 ლარი  საერთო სველი წერტილი, 100ლ ორადგილიანი საკუთარი სველი წერტილი, ტელევიზორი.",,"მაია ბერიძე/maia beridze",
"ციცო ქათამაძე/cico katamadze",,"საოჯახო სახლი","სოფ. ბუკნარი/village buknari","593 168232/ 595 168232",,,,,,,,,"პარკინგი,საუზმე",,,,,,,14,45,,,,"50ლ სამჯერადი კვებით 20ლ კვების გარეშე",,"ციცო ქათამაძე/cico katamadze",
"ნუკრი მეგრელიძე / nukri megrelidze",,"საოჯახო სახლი","სოფ. ბუკნარი/village buknari"," 599 71 09 94",,,,,,,,,"Wi-Fi,პარკინგი",,,,,,,9,27,,,,"100ლ ოთხადგილიანი",,"ნუკრი მეგრელიძე / nukri megrelidze",
"მამია დიასამიძე / mamia diasamidze",,"საოჯახო სახლი","სოფ. ბუკნარი/village buknari","558 69 09 86",,,,,,,,,პარკინგი,,,,,,,9,40,,,,"8-10  ლარიდან.",,"მამია დიასამიძე / mamia diasamidze",
"თურმანიძე ვალერი/turmanidze valeri",,"საოჯახო სახლი","სოფ. ბუკნარი/village buknari",599-58-19-11,,,,,,,,,პარკინგი,,,,,,,13,35,,,,"35-60 ლარამდე",,"თურმანიძე ვალერი/turmanidze valeri",
"კოტეჯი / Cottage",,კოტეჯი,"თამარ მეფის ქ. №76/ tamar mephe str. №76",597080656,,,,,,,,,პარკინგი,,,,,,,1,5,,,,"60$ -ივნ,ივლ 80$ -აგვისტო",," თამარ გოგიტიძე",
არისტოკრატია/aristocracy,,"საოჯახო სახლი","თამარ მეფის ქ. № 90/ tamar mephe str.№ 90"," 555 39 10 75/ 0426269594",,,,,,,,,"პარკინგი,საუზმე",,,,,,,11,30,,,"50ლ-ორადგილიანი ივნისი","60-70$ ორადგილიანი ივლ,აგვისტო 15-20-25 ლ სამჯერადი კებით",,"ფერაძე ნაილი/pheradze naili",
" GM hotel",,"საოჯახო სახლი","თამარ მეფის ქ.№4/tamar mephe str.№4","599431036/ 568 25 45 00",,,,,,,,,"პარკინგი,საუზმე",,,,,,,31,100,,,"40ლ-ორადგილიანი  მაისი -ივნისი/ 60ლ -სამადგილიანი","40$ ორადგილიანი  აგვისტო/ 5$ ორჯერადი კვება","შორენა ბოლომანიძე/shorena bolomanidze","თენგიზ ცივაძე / tengiz civadze",
"ნინო პაპუნაიშვილი/nino papunaishvili",,"საოჯახო სახლი","თამარ მეფის ქ.№86/tamar mephe str. №86","26-84-42/ 593906891",,,,,,,,,"Wi-Fi,პარკინგი",,,,,,,5,25,,,"50-70 ლ ორადგილიანი","100ლ ივლისი,აგვისტო",,"ნინო პაპუნაიშვილი/nino papunaishvili",
"გელა ვერულიძე / Gela Verulidze",,"საოჯახო სახლი","აღმაშენებლის ქ. №738 / Aghmashenebeli st. №738","599 95 38 80",,,,,,,,,"Wi-Fi,პარკინგი",,,,,,,10,35,,,,"25 ლარი ერთი ადამიანი (სამჯერადი კვებით)","გელა ვერულიძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №784 / Aghmashenebli st. №784","599 75 08 85 ",,,,,,,,,Wi-Fi,,,,,,,22,60,,,"ორადგილიანი - 50 ლარი","აგვისტო -  ორადგილიანი - 50$ -70$ / ოროთახიანი საოჯახო ოთხადგილიანი 100$","ავთანდილ ვერულიძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №774 / Aghmashenebeli st. №774","557 16 17 16 / 599 76 56 87 ",,,,,,,,,Wi-Fi,,,,,,,30,60,,,,,"მირზა კაკალაძე",,
"საოჯახო სახლი / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №542 ა / Aghmashenebli st. №542a","(0426) 26 71 67 / 599 13 74 23 ",,,,,,,,,Wi-Fi,,,,,,,18,25,,,,"10 ლარი ერთი ადამიანი (საერთო) / 20 ლარი ერთი ადამიანი (იზოლირებული სველი წერტილი)","ბადრი ანანიძე",,
"სოფიკო / Sophiko",,სასტუმრო,"აღმაშენებლის ქ. №1 / Aghmashenebeli st. №1","595 77 77 70",,,,,,,,,Wi-Fi,,,,,,,15,30,,,,"ორადგილიანი - 40-50 ლარი"," სოფიკო ხარაზი",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №740 / Aghmashenebeli st. №740","(0426) 26 74 04 / 599 17 06 04",,,,,,,,,Wi-Fi,,,,,,,15,30,,,,"40-50 ლარი","სულხანი ხარაზი",,
"ანრი / Anri",,"საოჯახო სახლი","აღმაშენებლის ქ. №520 ა / Aghmashenebeli st. №520 a","557 11 46 46",,,,,,,,,Wi-Fi,,,,,,,15,35,,,,"ივლისი (ორადგილიანი) 40-50 ლარი / აგვისტო - 20-25 ლარი ერთი ადამიანი","პავლე ნაცვლიშვილი",,
"ბურევესნიკი / Buveresniki",,სასტუმრო,"აღმაშენებლის ქ. №644 / Aghmashenebeli st. №664","599 56 14 92 ",,,,,,,,,Wi-Fi,,,,,,,7,14,,,,"15 ლარი ერთი ადამიანი / 20-25 ლარი სამჯერადი კვება ","მაგული ბაკურიძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №628 / Aghmashenebeli st. №628","599 10 17 70 ",,,,,,,,,Wi-Fi,,,,,,,20,45,,,,"20-25 ლარი ერთი ადამიანი, კვება 10 ლარი","არჩილ ჯინჭარაძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლი ქ. №540 / Aghmashenebeli st. №540","577 38 49 16 / 514 08 95 08 ",,,,,,,,,,,,,,,,3,9,,,,,"სულიკო მიქელაძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №494 / Aghmashenebeli st. №494","593 46 22 06 ",,,,,,,,,Wi-Fi,,,,,,,8,26,,,,"ივნისი (ორადგილიანი) - 20 ლარი, ივლისი (ორადგილიანი) - 30 ლარი,  აგვისტო (ორადგილიანი) - 50 ლარი","ნუგზარ რომანაძე",,
"ესტონია / Estonia",,სასტუმრო,"აღმაშენებლის ქ. №636 / Aghmashenebeli st. №636","(0426) 26 66 22 / 599 53 12 55 ",,,,,,,,,Wi-Fi,,,,,,,15,45,,,,,"ნელი ცენტერაძე",,
"გია / Gia",,სასტუმრო,"აღმაშენებლის ქ. №456 / Aghmashenebeli st. №456","593 63 41 45 / 599 94 62 00 ",,,,,,,,,Wi-Fi,,,,,,,8,20,,,,"25-30 ლარი ერთი ადამიანი,  აგვისტო (ორადგილიანი) - 60 ლარი","ლამარა ნემსაძე",,
"აპარტამენტები / Apartments",,სასტუმრო,"აღმაშენებლის ქ. №820 / Aghmashenebeli st. №820","591 30 82 52 ",,,,,,,,,,,,,,,,,,,,,"300 ლარი (2 საძინებელი)","დურმიშხან გერგედავა",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"მემედ აბაშიძის ქ. №32 / Memed Abashidze st. №32 ","555 55 10 36",,,,,,,,,Wi-Fi,,,,,,,12,30,,,,,"ნიკა პატარაია ",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"ჭავჭავაძის ქ. №38 / Chavchavadze st. №38","599 37 01 04",,,,,,,,,Wi-Fi,,,,,,,9,30,,,,"ივლისი - 13-15 ლარი ერთი ადამიანი,  აგვისო 15-17 ლარი ერთი ადამიანი","მერი ველიაძე ",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"ფიროსმანის ქ. №4 / Phirosmani st. №4","595 45 20 01",,,,,,,,,Wi-Fi,,,,,,,4,8,,,,"150 ლარი 7 ადამიანი"," ჯემალ ბოლომანიძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №488 / Aghmashenebeli st. №488","598 35 93 59 ",,,,,,,,,Wi-Fi,,,,,,,10,30,,,,"ივნისი - (ორადგილიანი) - 40 ლარი , ივლისი (ორადგილიანი) - 50 ლარი","ქეთევან ჯაფარიძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №746 / Aghmashenebeli st. №746","557 73 79 75",,,,,,,,,,,,,,,,2,,,,,"15-20 ლარი ერთი ადამიანი",,,
"იმატელა / Imatela",,სასტუმრო,"აღმაშენებლის ქ. №564 / Aghmashenebeli st. №564","599 43 21 44",,,,,,,,,Wi-Fi,,,,,,,17,50,,,,"ივნისი (ორადგილიანი) - 30-40 ლარი, აგვისტო - 50 ლარი",,,
"ფარნავაზი / Pharnavazi",,სასტუმრო,"რუსთაველის ქ. №333 / Rustaveli st. №333","599 5725 68 / 595 260262",,,,,,,,,Wi-Fi,,,,,,,15,30,,,,"15 ლარი ერთი ადამიანი","მადონა ოქროპირიძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"აღმაშენებლის ქ. №18 / Aghmashenebeli st. №18","(0426)26 60 67 / 599 17 72 90",,,,,,,,,Wi-Fi,,,,,,,16,40,,,,"40-50 ლარი ორადგილიანი)",,,
"ნიკა / Nika",,სასტუმრო,"რუსთაველის ქ. №253 / Rustaveli st. №253","595 41 73 90",,,,,,,,,,,,,,,,,,,,,"ივნისი/ივლისი - 10-15 ლარი 1 ადამიანი, აგვისტო - 20 ლარი 1 ადამიანი",მედიკო,,
"სანი / Sani",,სასტუმრო,"რუსთაველის ქ. №170 / Rustaveli st. №170","597 60 20 64",,,,,,,,,Wi-Fi,,,,,,,10,40,,,"50 ლარი","15 ივნისიდან-15 ივლისამდე (ორადგილიანი) - 60 ლარი, 15 ივლისან - 15 სექტემბრამდე - 60 ლარი","სალომე თევდორაძე",,
"მაგნოლია 1 / Magnolia 1",,სასტუმრო,"თავისუფლების ქ. №3 / Tavisuphleba st. №3 ","599 40 76 58",,,,,,,,,Wi-Fi,,,,,,,17,45,,,,"ივნისი - 1 ადამიანი 20 ლარი (სამჯერადი კვებით), ივლისი - 25 ლარი 1 ადამიანი (კვებით), აგვისტო - 35 ლარი 1 ადამიანი (კვებით)","ციალა კაკალაძე",,
"ირინა / Irina",,სასტუმრო,"თავისუფლების ქ. №4 / Tavisupleba st. №4 ","551 34 79 06",,,,,,,,,Wi-Fi,,,,,,,4,11,,,,,"ირინა კაიკაციშვილი",,
"ნათელა კვირკველია / Natia Kvirkvelia",,სასტუმრო,"რუსთაველის ქ. №327ვ / Rustaveli st. №327 ვ","591 81 21 11 / 599 96 69 59",,,,,,,,,,,,,,,,"31 ",80,,,,"ივნისი (ორადგილიანი) - 18 ლარი, ივლისი (ორადგილიანი) - 20 ლარი, აგვისტო (ორადგილიანი) - 25 ლარი, კვება - 10 ლარი",,,
"რუსლანი / Ruslani",,"საოჯახო სახლი","რუსთაველის ქ. №293 / Rustaveli st. №293","598 31 54 81",,,,,,,,,Wi-Fi,,,,,,,13,45,,,,"ორადგილიანი - 50 ლარიდან","ლია ტაკიძე",,
"ლაგუნა / Laguna",,სასტუმრო,"რუსთაველის ქ. №299 / Rustaveli st. №299","574 40 04 14",,,,,,,,,,,,,,,,60,220,,,,"ორადგილიანი - 40 ლარიდან","ნანა კურტანიძე",,
"საოჯახო სახლი / Family Hotel",,სასტუმრო,"რუსთაველის ქ. №25 / Rustaveli st. №25","558 72 03 03",,,,,,,,,Wi-Fi,,,,,,,6,18,,,,"ივნისი/ივლისი - 10$, აგვისტო - 15$","ინგა გოგიტიძე",,
"ნატო ჯაფარიძე / Nato Japharidze",,სასტუმრო,"რუსთაველის ქ. №60 / Rustaveli st. №60","593 22 41 36",,,,,,,,,Wi-Fi,,,,,,,7,24,,,,"10 ლარი 1 ადამიანი (საერთო სველი წერტილით 2 ოთახზე), 15 ლარი 1 ადამიანი (საკუთარი სველი წერტილით)","ნატო ჯაფარიძე",,
"ნაკაიძე / Nakaidze",,"საოჯახო სახლი","გოგებაშვილის ქ. №2 / Gogebashvili st. №2","577 42 51 55",,,,,,,,,Wi-Fi,,,,,,,8,20,,,,"5 აგვისტომდე 25 ლარი 1 ადამიანი, 5 აგვისტოდან 30 ლარი 1 ადამიანი","ნინო ნაკაიძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"რუსთაველის ქ. №205 / Rustaveli st. №205","599 28 61 64 / 568 51 99 66",,,,,,,,,Wi-Fi,,,,,,,12,22,,,,"ორადგილიანი - 30-40 ლარი","რობერტ წულუკიძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"რუსთაველის ქ. №307 / Rustaveli st. №307","(0426)26 75 67,  598 73 96 03",,,,,,,,,Wi-Fi,,,,,,,16,50,,,,"სამსაწოლიანი 40-45 ლარი","ტარიელ ჯაფარიძე",,
"საოჯახო სასტუმრო / Family Hotel",,სასტუმრო,"რუსთაველის ქ. №327 / Rustaveli st. №327","599 75 00 19",,,,,,,,,Wi-Fi,,,,,,,10,25,,,,,"ზურაბ ჯინჭარაძე",,
