title,videourl,hoteltype,address,contact,webpage,email,workinghours,workingdays,places,municipality,owner,programm,services,activities,foodplace,spa,others,president,stars,roomsnumber,placenums,checkin,checkout,price,priceseason,manager,director,tags
არგო/Argo,,სასტუმრო,"გორგილაძის ქ.№75ა/ Gorgiladze St. №75a","592 19 43 43 /558 27 49 67/ 557 74 50 18",,yasaryirigoz.61@gmail.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi",,რესტორანი,,,"არ აქვთ",3,28,50,,,"ერთ/ორ ადგ: 80-100","ერთ ადგ:160 ორ ადგ: 180","იეგანე შანჰანოვა -592194343",,
ადმირალი/Admiral,,სასტუმრო,"გოგებაშვილის ქ. №20/Gogebashvili St. №20","(0422) 25 57 54/ 577 78 84 33",,"operasions@admiral.ge / www.admiral.ge",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები,ექსკურსიები,ლიფტი",,რესტორანი,ფიტნესი,"კერძო პლიაჟი,ზღვასთან ახლოს,საკონფერენციო დარბაზი","არ აქვთ",5,40,80,,,"ერთ ადგ70$ ორ ადგ: 90$"," ერთ ადგ:90$ - ორ ადგ:110$",,"კონსტანტინე მეგრელიშვილი -577 78 84 33",
ალბატროსი/Albatros,,სასტუმრო,"ბარათაშვილის ქ. №43/Baratashvili St. №43"," 555 02 09 09",,,,,,,,,"Wi-Fi,პარკინგი,შინაური ცხოველები დაშვებულია",,,,,"არ აქვთ",,5,19,,,"ერთ ადგ: 50/ორ ადგ:60","ერთ/ორ ადგ: 120","იაგო კეჭეხმაძე  -555 020909",,
"ოქროს გასაღები/Golden Key ",,სასტუმრო,"გორგასალის ქ.N23/ Gorgasali str.N23","555 57 89 21",,,,,,,,,"Wi-Fi,საუზმე,შინაური ცხოველები დაშვებულია",,,,"ბიზნეს შეხვედრების ორგანიზება","არ აქვთ",3,4,9,,,"ერთ ადგილიანი: 30-35ლარი; ორ ადგილიანი: 40ლარი.","ერთ ადგილიანი: 60 ლარი; ორ ადგილიანი: 60 ლარი","დარეჯან ცქიტიშვილი -555 57 89 21 ",,"#Wifi #Breakfast #Business #"
ანკარა/Ankara,,სასტუმრო,"ლეონიძის ქ. №8/Leonidze ST. №8","(0422) 24 14 60/  571 52 35 23/ 599574501",,info@hotel-ankara.ge,,,,,,,"Wi-Fi,პარკინგი",,ბუფეტი,,,"არ აქვთ",2,16,22,,,"ერთ ადგ/ორ ადგ:60,80,150","ერთ ადგ:70 ორ ადგ: 80","ირაკლი ხიმშიაშვილი -571523523 ",,
ასტორია/Astoria,,სასტუმრო,"ს.ხიმშიაშვილის ქ. № 41 /S.Khimshiashvili St. № 41","(0422) 22 53 10/ (0422) 23 20 66/ 579 27 37 39",,"hotelastoria2011@gmail.com/ www.facebook.com/hotelastoria.batumi",,,,,,,,,,,,"არ აქვთ",2,17,40,,,,"ერთ/ორ ადგ: 120"," 579 27 37 39",,
ალექსი/Alex,,სასტუმრო,"მელიქიშვილის ქ.№102ა /Melikishvili St. №102a"," 555 15 38 77",,hotel-tg@mail.ru,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი",,კაფე,,,"არ აქვს",2,15,20,,,"ერთ ადგ:40 ორ ადგ: 50","ერთ/ორ ადგ: 60-70","თეონა ასათიანი  -571 51 18 44 /ლარა ნაკაშიძე  - 558 04 16 04",,
აჭარა/Adjara,,სასტუმრო,"ლერმონტოვის ქ. №1ა/ Lermontovi St. №1a","(0422) 27 23 68",,adjarabutichotel@mail.ru,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე,შინაური ცხოველები დაშვებულია",,ბარი,,,,2,15,50,,,"ერთ ადგ:90 ორ ადგ: 120","ერთ/ორ ადგ: 200",,,
ოთო/Oto,,სასტუმრო,"ფიროსმანის ქ. N8/ Pirosmani str.N8","571 13 13 99 ",,"merabisha@gmail.com ",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია",,ბუფეტი,,,"არ აქვთ",2,12,24,,,"ერთ/ორ ადგილიანი: 50 ლარი","ერთ ადგილიანი: 90 ლარი; ორ ადგილიანი: 100 ლარი","მერაბი შერვაშიძე-571131399 ",,"#Batumi,#Wifi,  #Breakfast,  #Pets,  #Parking "
აპოლო/Apolo,,სასტუმრო," ლერმონტოვის ქ. №10/Lermontovi St. №10","(0422) 22 28 23/ 595 63 00 06/ 599 20 48 70",,"hotelapolo@mail.ru/ www.hotelapolo.ge",,,,,,,"Wi-Fi,პარკინგი,საუზმე,ნომერი შეზღუდული შესაძლებლობის პირისთვის",,კაფე,,"ზღვასთან ახლოს",,3,9,21,,,,"ერთ ადგ:80 ორ ადგ: 120","ალეკო პატარაია  -599299151",,
ბათუმი/Batumi,,სასტუმრო,"მაიაკოვსკის ქ.№15/ Maiakovski St. №15","(0422) 27 25 68 ",,batumi2000@gmail.com,,,,,,,"Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,არამწეველთა ოთახები",,რესტორანი,,,,2,28,45,,,"ერთ ადგ:60 ორ ადგ: 80","ერთ/ორ ადგ: 70"," სულხან ზოიძე -577585151",,
"ბათუმი სან/ Batumi Sun ",,ჰოსტელი,"ლერმონტოვის  ქ. №24/ Lermontovi St. №24","558 11 11 89 ",,,,,,,,,,,,,,,,7,30,,,"ერთ/ორ ადგ: 15 -30 ",,"ჯაბა -558 11 11 89 ",,
"ბლექ სი/  Black sea ",,ჰოსტელი,"გოგებაშვილის (ბაქოს) ქ. №58 /Gogebashvili(Bako) ST. №58","551 57 57 29/ 577 09 67 65 ",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ექსკურსიები,ნომერი შეზღუდული შესაძლებლობის პირისთვის","ბილიარდი,მაგიდის ტენისი",ბარი,,"ზღვასთან ახლოს",,,7,40,,,,"8ადგ - 25ლარი/ 4 ადგ-30 ლარი/ 2 ადგ-65 ლარი/ლუქსი 2+1-80 ლარი ",,"გიგა ფარტენაძე -551 57 57 29",
"ოთხი სეზონი/Four Season ",,სასტუმრო,"ქუთაისის ქ.N30/ Kutaisi str.N23","(0422) 27 99 88; 577 10 44 54; 574 01 08 96      ",,,,,,,,,"Wi-Fi,პარკინგი,შინაური ცხოველები დაშვებულია",,,,,"არ აქვთ",3,4,8,,,"ერთ/ორ ადგილიანი: 50-60 ლარი","ერთ ადგილიანი: 80 ლარი; ორ ადგილიანი: 80 ლარი",,,"#Wifi #parking #Pets #Batumi "
"ბათუმის ტენისის კლუბი/  Batumi tennis club",,სასტუმრო,"ბულვარი /Boulevard","571 33 17 74/ 593 24 10 85",,"dimitri.bliadze@yahoo.com/ www.biki.ge",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე","ჩოგბურთის კორტები,ღამის კლუბი",,,"ზღვასთან ახლოს",,3,16,32,,,"ერთ/ორ ადგ: 60-70","ერთ/ორ ადგ: 130","დიმიტრი ბლიაძე -593 24 10 85 ",,
ოსკარი/Oscar,,სასტუმრო,"გორგასალის ქ.N6/Gorgasali str.N6","557 53 78 42; 593 95 94 76;  (0422) 27 62 67",,,,,,,,,,,,,,,,,,,,,,,,
პლაზა/Plaza,,სასტუმრო,"ჭავჭავაძის ქ.N5/Chavchavadze ave.N5"," (0422) 22 29 29  ",,hotel@batumiplaza.ge,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები,ლიფტი",,ბარი,"დახურული აუზი,ღია აუზი,სპა,საუნა,მასაჟი,ფიტნესი,სოლარიუმი","კერძო პლიაჟი,ზღვასთან ახლოს,საკონფერენციო დარბაზი",,4,43,70,,,"ერთ ადგილიანი: 65 ლარი; ორ ადგილიანი: 100-110 ლარი","ერთ ადგილიანი: 140 ლარი; ორ ადგილიანი: 140 ლარი","მენეჯერი:  გიორგი ფუტკარაძე -599 50 03 02",,"#Plaza #Batumi #SwimmingPool #Business #SeaSide #Fitness #Parking #PrivateBeach  "
ბექრო/BEQRO,,სასტუმრო,"ზუბალაშვილის ქ./ZUBALASHVILI ST №13","&quot;(0422) 27 45 82 568 22 35 25&quot;",,,,,,,,,,,,,,"საპრეზიდენტო ნომერი არ აქვთ",,,,,,,"&quot;ერთ ადგ:50 ორ ადგ:70&quot;",,,
"პარადაისი/Paradise ",,სასტუმრო,"შავშეთის ქ.N5/Shavshetis str. N5","(0422) 22 15 13; 0790 20 97 71; 558 00 06 15 (თურქულენოვანი ოპერატორი ჰყავთ)",,paradisebatumi@gmail.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ტრანსფერი,ექსკურსიები",,კაფე,,"ზღვასთან ახლოს","არ აქვთ",3,10,18,,,"ერთ ადგილიანი: 70-80 ორ ადგილიანი: 100 ლარი","ერთ/ ორ ადგილიანი: 80-140 ლარი",,"ნატალია ლიპარტიანი-591 40 77 04  ","#Creditcard #WIfi #SeaSide #Cafe #Excursions #Transfer #Parking #Breakfast"
"პენტჰაუს ჰოტელ ბათუმი/Penthouse Hotel Batumi",,სასტუმრო,"ზ.გორგილაძის ქ.N118 26-ე სართული/Z.Gorgiladze str.N118 Floor-26","577 51 17 77",,"penthousebatumi@gmail.com ",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ტრანსფერი",,რესტორანი,,,"არ აქვთ",,20,75,,,"ერთ/ ორ ადგილიანი: 60$","ერთ/ორ ადგილიანი: 130$","გაყიდვების მენეჯერი: მაია კალანაძე 577 51 17 77 ",,"#batumi #Wifi #Transfer #Parking #creditCard #Restaurant "
"პეპინო/Pepino ",,სასტუმრო,"მელაშვილის ქ. №23/ Melashvili str.N23","(0422) 22 43 90; 557 60 03 25",,"medea1976@mail.ru ",,,,,,,"Wi-Fi,პარკინგი,შინაური ცხოველები დაშვებულია,ტრანსფერი",,,,"ზღვასთან ახლოს",,3,7,17,,,"ერთ ადგილიანი: 40 ლარი; ორ ადგილიანი: 50 ლარი","ორ ადგილიანი: 90 ლარი","მედეა 593 77 14 14",,"#Wifi #Transfer #Pets #Seaside"
"&quot;ბესთ ვესტერნ პლას ბათუმი &quot;&quot;Best western plus Batumi&quot;&quot;&quot;",,სასტუმრო,"&quot;შ. ხიმშიაშვილის ქ.N92 / Sh. Khimshiashvili st.N92&quot;","&quot;551 336677  551 336688&quot;",,bwbatumi@gmail.com,,,,,,,,,,"ღია აუზი","საკონფერენციო დარბაზი","საპრეზიდენტო ნომერი არ აქვთ",5,50,12-140,,,,"80–180 დოლარამდე",,,
"პონტო ბათეა/Hotel Ponto Batea",,სასტუმრო," მაზნიაშვილის ქ.  №3/Mazniashvili str.N3","(0422) 27 55 15;  593 10 30 86 ",,pontobatea@gmail.com/www.facebook.com/PontoBatea,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ტრანსფერი,ექსკურსიები",,,,"ზღვასთან ახლოს","არ აქვთ",3,7,20,,,"ერთ/ორ ადგილიანი: 35 $","ერთ/ორ ადგილიანი: 60$","მენეჯერი: არჩილ გოგიტიძე-  593 103086  ",,"#SeaSide #BlackSea #Transfer #Excursions #Breakfast #Parking #Wifi #CreditCard "
"პორტო ფრანკო/Porto Franco ",,სასტუმრო,"ქუთაისის ქ.  №16/ Kutaisi str.N16","(0422) 27 70 44",,,,,,,,,Wi-Fi,,,,"ზღვასთან ახლოს","არ აქვთ ",3,4,8,,,"ერთ/ორ ადგილიანი: 60$","ერთ/ორ ადგილიანი: 100$","ირა ხაჩიძე - 514 70 61/66 55",,"#BlackSea #SeaSide #Wifi #PortoFranco "
"პორტო ფრანკო/Porto Franco ",,სასტუმრო," თავდადებულის ქ.  №31/ Tavdadebuli str/N31","(0422) 22 55 99; 574 07 19 79",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე,შინაური ცხოველები დაშვებულია",,"რესტორანი,ბარი",,,"არ აქვთ ",,13,24,,,"ერთ/ორ ადგილიანი: 50-60 ლარი","ერთ/ორ ადგილიანი:  140 ლარი ( საუზმით)","მენეჯერი: 593 36 20 09  ","დონარი მამულაძე ","#OldBatumi #Batumi #Wifi #Restaurant #CafeBar #Breakfast #CreditCard "
"ბიჩ ჰაუსი/BEACH HOUSE",,სასტუმრო," /SH.KHIMSHIASHVILI №89","&quot;555 60 09 01 (0422) 29 26 68&quot;",,beachhousebatumi@gmail.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,შინაური ცხოველები დაშვებულია,ავტო გაქირავება,ველო გაქირავება","ფეხბურთის მოედანი",,საუნა,"კერძო პლიაჟი,ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","საპრეზიდენტო ნომერი არ აქვთ",3,14,28,,,"&quot;ერთ/ორ ადგ: 50&quot;","&quot;ერთ ადგ:50$ ორ ადგ:70$&quot;","მენეჯერი:  დიანა 551 30 94 49 ","დირექტორი: კახაბერ ბერიძე -555 60 09 01",
"ბლექ სი ჰაუს",,სასტუმრო,"კლდიაშვილის ქ./ KLDIASH №8 ","&quot;599 39 75 72 (0422) 27 81 11&quot;",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი",,რესტორანი,,,"საპრეზიდენტო ნომერი არ აქვთ",3,8,25,,,"&quot;ერთ ადგ:50 ორ ადგ: 80&quot;","&quot;ერთ ადგ:90 ორ ადგ:110-150&quot;","&quot;მენეჯერი:  574 72 39 39&quot;",,
"პრემიერი/Premier ",,სასტუმრო,"მაიაკოვსკის ქ.  №11/ Maiakovsi str.N11","(0422) 22 07 25;  579 09 22 02",,info@hotelpremier.ge/www.hotelpremier.ge,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები,ტრანსფერი,ექსკურსიები,ლიფტი",,რესტორანი,მასაჟი,"ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","არ აქვთ ",3,32,60,,,"ერთ ადგილიანი: 70 ლარი;  ორ ადგილიანი: 150 ლარი.","ერთ ადგილიანი: 100-120 ლარი; ორ ადგილიანი: 160 ლარი ","მურადი- 597 01 03 01",,"#ConferenceRoom #Business #Restaurant #Excursions #Breakfast #Parking #WiFi #CreditCard #Transfer "
ბლოსომ,,სასტუმრო,"პუშკინის ქ./PUSHKINI №144","593 508 771",," info@blossom.ge",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,ტრანსფერი",,,,,"საპრეზიდენტო ნომერი არ აქვთ",,3,8,,,,"ორ ადგ: 50$","მენეჯერი: ზაზა ფარტენაძე - 574 30 60 80","დირექტორი: ნანული დუმბაძე - 593 50 87 71",25
"ბლექ სი სთარ/BLACK SEA STAR ",,სასტუმრო,"ზუბალაშვილის /ZUBALASHVILI№17 ","&quot;593 801717                     ( 0422) 224543&quot;",,info@blackseastar.ge,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,ტრანსფერი,ექსკურსიები",,,,,"საპრეზიდენტო ნომერი არ აქვთ",,16,,,,"&quot;ერთ/ორ ადგ: 120&quot;","ერთ ადგ:100","&quot;მენეჯერი: თემო- 593 80 17 17&quot;",,
"&quot;ბონი/BONI &quot;",,სასტუმრო,"მაიაკოვსკის ქ. /MAIAKOVSKI№4","&quot;(0422) 27 48 20 (0422) 27 19 39 593 04 51 51&quot;",,hotelboni@mail.ru,,,,,,,"Wi-Fi,პარკინგი,შინაური ცხოველები დაშვებულია,ტრანსფერი","ბილიარდი,კარაოკე",რესტორანი,სოლარიუმი,"ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","საპრეზიდენტო ნომერი არ აქვთ",,2,41,,,"&quot;ერთ/ორ ადგ: 50&quot;","&quot;ერთ/ორ ადგ: 30-40&quot;",,"&quot;დირექტორი თეა ფიჩხაძე: - 577125214 &quot;",80
"&quot;ბელა კოსტა BELA KOSTA&quot;",,სასტუმრო,"ლესელიძის ქ./LESELIDZE №6","568 30 77 77      ",,info@bellacosta.ru.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ტრანსფერი",კარაოკე,"რესტორანი,კაფე,ბარი","ღია აუზი",,"საპრზიდენტო ნომერი არ აქვთ",,,,,,,100-110,,"&quot; დირექტორი: -558 19 91 91&quot;",
ბრაიტონი/BRIGTON,,სასტუმრო,"დუმბაძის ქ./DUMBADZE №8","&quot;(0422) 27 41 35 557 68 28 28&quot;",,info@brighton.ge,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები",,რესტორანი,,"ზღვასთან ახლოს,საკონფერენციო დარბაზი","საპრეზიდენტო ნომერი არ აქვთ",3,15,30,,,"&quot;ერთ/ორ ადგ: 120&quot;","&quot;ერთ/ორ ადგ: 170&quot;","&quot;მენეჯერი: ციური დავითაძე -599 42 34 34 &quot;",,
ბრილიანტი/BRILIANT,,სასტუმრო,"მელიქიშვილის  ქ. /MELIQISHVILI№86","&quot;(0422) 22 04 86 568 50 18 90 &quot;",,,,,,,,,,,,,,"საპრეზიდენტო ნომერი არ აქვთ",,,,,,40-50,40-50,,,
ბუნება/BUNEBA,,სასტუმრო,"აღმაშენებლის ქ. №3","568 66 56 65",,info.@hotelbuneba.ge,,,,,,,,,,,,,2,5,7,,,,,,,
"&quot;გარანტი/ GARANTI&quot;",,სასტუმრო,"ი.ჯავახიშვილის ქ.I.JAVAKHISHVILIN3ა","577 75 50 95",,,,,,,,,,,კაფე,,,,,17,51,,,,,,,
ფერია/Feria,,სასტუმრო,"ბერიძის ქ. №13/Beridze St.№13","(0422) 25 15 76 / 599 26 28 70 ",,,,,,,,,"Wi-Fi,პარკინგი,საუზმე",,,,"ზღვასთან ახლოს","არ აქვთ",2,4,8,,,"ერთ/ორ ადგ: 30-40","ერთ/ორ ადგ: 60-70ლარი","ჯემალ ირემაძე - 599 26 28 70",,
