title,videourl,hoteltype,address,contact,webpage,email,workinghours,workingdays,places,municipality,owner,programm,services,activities,foodplace,spa,others,president,stars,roomsnumber,placenums,tags,
"ადმირალი","","სასტუმრო","გოგებაშვილის ქ. № 20","0422 25 57 54 / +995 577 78 84 33","www.admiral.ge","operasions@admiral.ge ","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები,ექსკურსიები,ნომერი შეზღუდული შესაძლებლობის პირისთვის","","რესტორანი","ფიტნესი","კერძო პლიაჟი,ზღვასთან ახლოს,საკონფერენციო დარბაზი","","","40","80","",
"ალიკი","","სასტუმრო","მაზნიაშვილის ქ. №2","0422 27 58 02 / 0422  27 58 03 / +995 577 58 08 08","www.hotelalik.gol.ge"," hotelalikge@gmail.com","","","","","","","საკრედიტო ბარათით სარგებლობა,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,არამწეველთა ოთახები","ჩოგბურთის კორტები","ბარი","დახურული აუზი,სოლარიუმი","ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","","3","53","120","",
"ადელი","","სასტუმრო","შ. ხიმშიაშვილის ქ. №7","0422 21 27 74 / +995 577 46 88 55 ","","adelicomplex@hotlmail.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე","ფეხბურთის მოედანი","ბუფეტი","","ზღვასთან ახლოს,საკონფერენციო დარბაზი","","2","24","48","",
"ანკარა","","სასტუმრო","ლეონიძის ქ. №8","0422 24 14 60 / +995 571 52 35 23 / +995  599 57 45 01","","info@hotel-ankara.ge","","","","","","","Wi-Fi,პარკინგი","","ბუფეტი","","","","2","16","22","",
"ასტორია","","სასტუმრო","სელიმ ხიმშიაშვილის  ქ. №41","+995 555 562 467","","","","","","","","","","","","","","","2","17","40","",
"ალექსი","","სასტუმრო","მელიქიშვილის ქ. №102ა ","+995  555 15 38 77","","hotel-tg@mail.ru","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე","","კაფე","","ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","","2","15","20","",
"აჭარა","","სასტუმრო","ლერმონტოვის ქ. №1ა","0422 27 23 68","","adjarabutichotel@mail.ru","","","","","","","Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია","","","","","","2","15","50","",
"აპოლო","","სასტუმრო"," ლერმონტოვის ქ. №10","0422 22 28 23 / +995 595 63 00 06 / +995 599 20 48 70","www.hotelapolo.ge","hotelapolo@mail.ru","","","","","","","Wi-Fi,პარკინგი,საუზმე","","კაფე","","ზღვასთან ახლოს","","3","9","21","",
"ბათუმი","","სასტუმრო","მაიაკოვსკის ქ. № 15","0422 27 25 68 ","","batumi2000@gmail.com","","","","","","","Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,არამწეველთა ოთახები","","რესტორანი","","","","2","28","45","",
"ბათუმის ტენისის კლუბი","","სასტუმრო","ბულვარის ტერიტორია","+995 571 33 17 74 / +995 593 24 10 85","www.biki.ge","dimitri.bliadze@yahoo.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე","ჩოგბურთის კორტები","","","ზღვასთან ახლოს","","3","16","32","",
"ბათუსი","","სასტუმრო","ჯავახიშვილის ქ. №4ა","0422 25 03 03 / +995 577 25 03 03","www.batus.ge","info@batus.ge","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე","ბილიარდი","კაფე,ბარი","","","","2","18","36","",
"ბაკური","","სასტუმრო","წერეთლის ქ. №38","0422 27 64 63 / +995 577 52 12 23","","hotelbakuri@yahoo.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,შინაური ცხოველები დაშვებულია","","","","","","3","11","25","",
"ბესო","","სასტუმრო","ბერიძის ქ. №15","0422 22 09 02","","hotel-beso@mail.ru","","","","","","","Wi-Fi,პარკინგი","","კაფე","","","","2","27","54","",
"ბექრო","","სასტუმრო","ზუბალაშვილის ქ. №13","0422 27 45 82 / +995 568 22 35 25","","","","","","","","","","","","","","","","","","",
"ბიჩ ჰაუსი","","სასტუმრო","შ.ხიმშიაშვილის ქ. №89"," 0422 29 26 68 / +995 555 60 09 01","www.beachhouse.com","beachhousebatumi@gmail.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ავტო გაქირავება,ველო გაქირავება","ფეხბურთის მოედანი","","საუნა","კერძო პლიაჟი,ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","","3","14","28","",
"ბლექ სი ჰაუს","","სასტუმრო","კლდიაშვილის ქ. №8","0422 27 81 11 / +995 599 39 75 72","","","","","","","","","","","","","","","","6","15","",
"ბონი","","სასტუმრო","მაიაკოვსკის ქ. №4","0422 27 48 20 / 0422 27 19 39 / +995 593 04 51 51","","hotelboni@mail.ru","","","","","","","Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ტრანსფერი","ბილიარდი","რესტორანი,ბარი","სოლარიუმი","ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","","2","41","80","",
"ბელა კოსტა","","სასტუმრო","ლესელიძის ქ. №6","+995 568 30 77 77   ","www.bellacosta.ru.com","info@bellacosta.ru.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ტრანსფერი","","რესტორანი,კაფე,ბარი","ღია აუზი","","","","","","",
"ბრაიტონი","","სასტუმრო","დუმბაძის ქ. №8","0422 27 41 35 / +995 557 68 28 28","www.brighton.ge","info@brighton.ge","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები","","რესტორანი","","ზღვასთან ახლოს,საკონფერენციო დარბაზი","","3","15","30","",
"ბრილიანტი","","სასტუმრო","მელიქიშვილის ქ. №86","0422 22 04 86 / +995 568 50 18 90","","","","","","","","","","","","","","","","","","",
"ბუნება","","სასტუმრო","აღმაშენებლის ქ. №3"," 0422 24 03 59 / +995 577 11 51 15","","","","","","","","","","","","","","","2","5","7","",
"გრანდ როიალ აპარტამენტი","","აპარტამენტი","ხიმშიაშვილის ქ. № 15დ ","0422 20 00 34 / 0422 20 00 35 / 790 20 04 96","www.grandroyalbatumi.com","gr.batumi@gmail.com ","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,არამწეველთა ოთახები,ტრანსფერი,ექსკურსიები,ლიფტი","","რესტორანი","","ზღვასთან ახლოს","","4","40","100","",
"გრინ ვილა","","სასტუმრო","კოსტავას ქ. №13","0422 22 51 90 / +995 579 97 75 77","www.greenwillabatumi.com","green.villa@mail.ru","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი","","","","","","3","10","25","",
"გოგა","","სასტუმრო","ალექსანდრე ჩხაიძის ქ. №48","+995 595 19 81 08","","ini-georgia@mail.ru","","","","","","","Wi-Fi","","","","","","2","7","15","",
"გოლდენ სტარი","","სასტუმრო","ზუბალაშვილის ქ. №13","0422 27 81 60 ","www.goldenstar.ge","goldenstar.ge@gmail.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,არამწეველთა ოთახები,ავტო გაქირავება,ექსკურსიები,ნომერი შეზღუდული შესაძლებლობის პირისთვის","","კაფე","","ზღვასთან ახლოს","","3","23","50","",
"გალოგრე","","სასტუმრო","გორგასალი ქ. №8","0422 27 48 45","www.hotelgalogre.com","info@hotelgalogre.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები","","","","ზღვასთან ახლოს,საკონფერენციო დარბაზი","","4","34","70","",
"გრანდ რიქსოს პალასი","","სასტუმრო","აეროპორტის გზატკეცილი №124","0422 218787 / +995 593 83 73 73 ","www.grandrixosspalace.ge","hotel.rixoss@mail.ru","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები,ტრანსფერი,ლიფტი","ბილიარდი,მაგიდის ტენისი,ღამის კლუბი","რესტორანი","ღია აუზი,ფიტნესი","ზღვასთან ახლოს,საკონფერენციო დარბაზი","","4","75","172","",
"გოლდენ პალასი ","","სასტუმრო","გამსახურდიას ქ. №8","0422 21 25 30","www.goldenpalace.com","info@goldenpalacebatumi.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,არამწეველთა ოთახები,ტრანსფერი","კაზინო","რესტორანი,კაფე,ბარი,ბუფეტი","საუნა","საკონფერენციო დარბაზი","","4","51","88","",
"გრანდ პალასი","","სასტუმრო","გურამიშვილის ქ. №74 (ბაგრატიონის კვეთა)"," +995 555 12 11 13 /  +995 593 45 06 10","","grandpalace2015@gmail.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ტრანსფერი,ლიფტი","","","","","","3","28","60","",
"გიო","","სასტუმრო","მწვანე კონცხი, ბაღის ქ. №10","","www.hotelgio.com","info@hotelgio.ge","","","","","","","","","","","","","4","29","35","",
"გოლდენ ფიში","","სასტუმრო","ზუბალაშვილის ქ. №13"," 0422 27 87 06","www.hotel-goldenfish.com","goldenfish2017@mai.ru","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი","","","","","","3","12","25","",
"გამა","","სასტუმრო","ანგისის ქ. №35","0422 24 46 29 / +995 558 02 69 69/ +995 593 66 58 90","www.hotelgama.ge","info@hotelgama.ge / hotelgama@mail.ru","","","","","","","Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები","","კაფე","","ზღვასთან ახლოს","","2","8","18","",
"გენაცვალე ","","სასტუმრო","აეროპორტის გზატკეცილი № 122","+995 595 41 59 77 ","","","","","","","","","Wi-Fi,პარკინგი","","","ღია აუზი","","","2","31","70","",
"დავითი","","სასტუმრო","ბარათაშვილის ქ. №33","0422 27 17 18","www.hoteldavid.ge","hoteldavidbairam@gmail.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია","","","","ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","","4","12","36","",
"დუტა","","სასტუმრო","ფიროსმანის ქ. №6","0422 27 21 08 / +995 599 51 76 76 ","www.duta.ge","info@duta.ge","","","","","","","Wi-Fi,საუზმე","მაგიდის ტენისი","","","","","2","14","30","",
"დაისი - სანსეტ ჰოტელ","","სასტუმრო","ფალიაშვილის ქ. № 12","0422 27 77 76 / +995 595 16 87 87","www.daisi-sunset.com","info@daisi-sunset.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ნომერი შეზღუდული შესაძლებლობის პირისთვის","","კაფე","","ზღვასთან ახლოს","","3","19","45","",
"დელფინი","","სასტუმრო","ლეონიძის ქ. №8","0422 24 03 54 ","","","","","","","","","Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ტრანსფერი","","კაფე","","","","2","14","36","",
"დელფინი","","სასტუმრო","გორგილაძის ქ. №27","0422 25 25 82 / +995 568 3014 12","","an1ko-1@mail.ru","","","","","","","Wi-Fi,საუზმე,არამწეველთა ოთახები,ავტო გაქირავება,ველო გაქირავება,ექსკურსიები,ნომერი შეზღუდული შესაძლებლობის პირისთვის,ლიფტი","","კაფე","საუნა","ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","","2","18","54","",
"დადიანი","","სასტუმრო","ფარნავაზ მეფის ქ. № 124","0422 22 57 37 / +995 599 91 77 72 /  597 02 97 73 / +995 555 41 97 77","","hoteldadiani@mail.ru","","","","","","","","","","","","","","","","",
"დივანი","","სასტუმრო","ჟორდანიას / გამსახურდიას ქ. №  8 / 15 ","0422 25 55 22 /  0422 22 86 85 / +995  577 11 51 92 ","www.divan.com.tr","sales.batum@divan.com.tr","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები,ტრანსფერი,ნომერი შეზღუდული შესაძლებლობის პირისთვის","","რესტორანი","დახურული აუზი,სპა,საუნა,ჰამამი,მასაჟი,ფიტნესი","ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","","5","65","130","",
"ეგე პალასი","","სასტუმრო","აეროპორტის გზატკეცილი ქ. №145","+995 568 30 23 80 ","","","","","","","","","","","","","","","2","11","25","",
"ელადა","","სასტუმრო","პუშკინის ქ. №29","+995 599 71 58 62","","","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,შინაური ცხოველები დაშვებულია,ტრანსფერი","","","","","","2","10","20","",
"ელეგანტი","","სასტუმრო","გორგასალის ქ. №68","0422 27 48 41","www.hotel-elegant.webnode.com","elegant@rambler.ru","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე","","ბარი","საუნა","","","2","6","15","",
"ელტური","","სასტუმრო","ტბეთის ქ. №5","0422 25 50 88 / +995 568 85 18 45    ","","el-turi@mail.ru","","","","","","","","","","","","","","8","20","",
"ემ პალასი","","სასტუმრო","ბაგრატიონის ქ. №79   (თავდადებულის კვეთა)","0422 22 27 18","","m-palace@mail.ru","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,არამწეველთა ოთახები","","","","","","","18","50","",
"ერზურუმი","","სასტუმრო","ლ.ასათიანის ქ. №108","0422 27 78 48 / +995  599 44 48 37","","","","","","","","","","","","","","","1","13","30","",
" ევროპარკი","","სასტუმრო","ხიმშიაშვილის ქუჩის მიმდებარედ","0422 21 01 00  / +995 597 31 53 53 ","","hotel@europark.ge / aquapark@list.ru ","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე","","რესტორანი","ღია აუზი","","","3","44","100","",
"ერა პალასი","","სასტუმრო","გორგილაძის ქ. №77","0422 22 00 00","www.erapalace.ge","erapalace@gmail.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,შინაური ცხოველები დაშვებულია,ტრანსფერი,ექსკურსიები,ნომერი შეზღუდული შესაძლებლობის პირისთვის,ლიფტი","ბილიარდი","რესტორანი,ბარი","დახურული აუზი,სპა,საუნა,მასაჟი,ფიტნესი","ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","","4","57","114","",
"ელ  ტური ","","სასტუმრო","თამარ მეფის დასახლება №5","0422 25 50 88","","","","","","","","","Wi-Fi,პარკინგი,საუზმე","","","","ზღვასთან ახლოს","","3","8","18","",
"ელიო","","სასტუმრო","მელიქიშვილის ქ. №55","+995 592 48 44 00","","hotelelio@mail.ru","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,ტრანსფერი,ლიფტი","","კაფე","","ზღვასთან ახლოს","","3","10","25","",
"ვიქტორია","","სასტუმრო","აღმაშენებლის ქ. №4 "," 0422 21 11 01","","","","","","","","","Wi-Fi,საუზმე,შინაური ცხოველები დაშვებულია,ტრანსფერი,ნომერი შეზღუდული შესაძლებლობის პირისთვის","","","","ზღვასთან ახლოს","","2","18","40","",
"ელიტ ჰაუსი","","სასტუმრო"," მაზნიაშვილის ქ. № 68 / ჭავჭავაძის ქ. № 18 ","0422 27 51 93 / +995 558 20 03 03","www.elitehouse.ge","hotelelithaouse@mail.ru ","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,შინაური ცხოველები დაშვებულია,ტრანსფერი,ექსკურსიები,ნომერი შეზღუდული შესაძლებლობის პირისთვის,ლიფტი","კაზინო","ბარი","","ზღვასთან ახლოს","","","21","40","",
"ელიზი","","საოჯახო სახლი","ფარნავაზ მეფის ქ. № 74, ბ.12","+995 592 11 21 16","","","","","","","","","","","","","","","","5","10","",
"ეუფორია","","სასტუმრო","ლეხ და მარია კაჩინსკების ქ. №1 ","0422 23 23 23","www.euphoriahotels.com","batumieuphoria@gmail.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,არამწეველთა ოთახები,ტრანსფერი,ექსკურსიები,ნომერი შეზღუდული შესაძლებლობის პირისთვის,ლიფტი","","რესტორანი,კაფე,ბარი,ბუფეტი","დახურული აუზი,ღია აუზი,სპა,საუნა,ჰამამი,მასაჟი,ფიტნესი,სოლარიუმი,სილამაზის სალონი","ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","","5","418","1000","",
"ელ ბაკური","","სასტუმრო","ჭავჭავაძის ქ. №121","0422 27-69-23","","ltdbakuri@mail.ru","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,შინაური ცხოველები დაშვებულია,არამწეველთა ოთახები,ტრანსფერი,ექსკურსიები,ლიფტი","","რესტორანი,კაფე,ბარი","","ზღვასთან ახლოს","","3","34","60","",
"ევრაზია","","სასტუმრო","ინასარიძის პირველი ჩიხი №4","+995 593 02 66 20 / +995 555 10 25 03","www.eurasiabatumi.com","eurasiabatumi@gmail.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები,ველო გაქირავება,ტრანსფერი,ექსკურსიები","მაგიდის ტენისი","რესტორანი","საუნა","ზღვასთან ახლოს","","3","19","60","",
"ვანილა","","სასტუმრო","ქუთაისის ქ. №12/14","0422 24 00 22 / 0422 24 55 56 / +995 577 21 00 09","www.hotelvanilla.com.ge","info@hotelvanilla.ge","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე,ნომერი შეზღუდული შესაძლებლობის პირისთვის,ლიფტი","კაზინო","კაფე","","ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","","3","20","32","",
" ვილა","","სასტუმრო","გოგებაშვილის ქ.  №54","0422 22 11 04 / +995 593 62 30 30","","","","","","","","","Wi-Fi,პარკინგი","","","","","","2","10","20","",
"ვოიაჟი     ","","სასტუმრო","ბარათაშვილის ქ. №3","0422 27 12 29","","batumihotelvoyage@yahoo.com","","","","","","","Wi-Fi","","","","ზღვასთან ახლოს","","3","6","12","",
"ვეგა","","სასტუმრო","ანგისის ქ. №88ა, აეროპორტის დასახლება","0422 22 55 11 / +995 597 82 28 22","","hotelvega@mail.ru","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე","","ბარი","","","","2","17","34","",
"ვენტურა              ","","სასტუმრო","გრიბოედოვის ქ. №45","0422 27 19 88 / +995 558 25 95 22","","hotelventura@mail.ru","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,ტრანსფერი,ექსკურსიები","","რესტორანი","","ზღვასთან ახლოს","","","19","70","",
"ვერონა","","სასტუმრო","ნოე ჟორდანიას ქ. №17","+995 592 87 23 44","www.hotelverona-batumi.com","batumiverona@gmail.com","","","","","","","Wi-Fi","","","","","","2","5","10","",
"ვიზიტი","","სასტუმრო","ოსტროვის ქ. №110","0422 22 61 30 /  +995 568 60 00 04","","batumi1980@mail.ru","","","","","","","Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ტრანსფერი,ნომერი შეზღუდული შესაძლებლობის პირისთვის","","კაფე","","ზღვასთან ახლოს","","2","12","60","",
"ვინდჰამ ბათუმი / WYNDHAM Batumi","","სასტუმრო","მემედ აბაშიძის ქ. № 33","0422 22 22 00","www.wyndhambatumi.com","info@wyndhambatumi.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები,ტრანსფერი,ნომერი შეზღუდული შესაძლებლობის პირისთვის,ლიფტი","ღამის კლუბი,კაზინო","რესტორანი,კაფე,ბარი,ბუფეტი","დახურული აუზი,სპა,საუნა,ჰამამი,მასაჟი,ფიტნესი,სოლარიუმი,სილამაზის სალონი","ზღვასთან ახლოს,ბიზნეს შეხვედრების ორგანიზება,საკონფერენციო დარბაზი","","5","164","350","",
"ვიქტორია","","სასტუმრო","ჰაიდარ აბაშიძის ქ. №49","+995 597 01 01 47 / 0790 57 80 57","","","","","","","","","Wi-Fi,პარკინგი","","","","","","2","25","40","",
"ვორლდ პალასი","","სასტუმრო","მელაშვილის ქ. № 1 / 3 "," 0422 22 57 90 / +995 571 70 46 46","www.batumiworldpalace.com","info@batumiworldpalace.com","","","","","","","საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე,არამწეველთა ოთახები,ექსკურსიები,ლიფტი","","რესტორანი","","ზღვასთან ახლოს,საკონფერენციო დარბაზი","155 - 180 $","5","30","75","",
